"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1.t1",0,NA,NA,NA,NA,NA
"g2.t1",0,NA,NA,NA,NA,NA
"g3.t1",0,NA,NA,NA,NA,NA
"g4.t1",0,NA,NA,NA,NA,NA
"g5.t1",3.53511577612476,0.762358285985465,1.76734392870758,0.431358194408126,0.66620794238603,NA
"g6.t1",0.378846852437648,1.99216123632655,4.94538355042583,0.402832503488029,0.687071448070287,NA
"g7.t1",0.560194366508449,2.6633061977909,4.69621491080574,0.567117614584199,0.570634276182896,NA
"g8.t1",1.1203887330169,3.66432938769061,3.56002413196979,1.02929903052739,0.303339178733295,NA
"g9.t2",0.337060011296957,-1.8638906464033,4.93602068840455,-0.377609974524996,0.70572035380211,NA
"g9.t1",0,NA,NA,NA,NA,NA
"g10.t1",24.0681938173819,-1.93988206603141,0.807264271511832,-2.40303223428732,0.0162597541070328,0.0622332191581955
"g11.t1",0,NA,NA,NA,NA,NA
"g12.t1",0.168530005648478,-1.17412711609574,4.97350539376161,-0.236076373329861,0.813373407173426,NA
"g13.t1",0,NA,NA,NA,NA,NA
"g14.t1",0,NA,NA,NA,NA,NA
"g15.t1",144.075177142081,-0.502012008625964,0.360880085260362,-1.39107706168873,0.164202059844783,0.361127776534561
"g15.t2",17.7757974514907,0.319921701676146,0.882238075069362,0.362625135682331,0.716884931008586,0.867829282172554
"g16.t1",137.999573183983,-0.627509479595883,0.352772903314544,-1.77879160700836,0.0752739337086,0.205420008905489
"g17.t1",1572.03476396952,-0.975563866111395,0.24366896681333,-4.00364428375795,6.23741302379291e-05,0.000518668588005513
"g18.t1",966.613209852889,0.135898262108711,0.206422180312208,0.658351064324431,0.51031257241834,0.731487645402582
"g19.t1",497.428501355819,0.0291855559172746,0.219815964193571,0.1327726856616,0.894373156757646,0.958659965015234
"g20.t1",914.347415785678,0.453816888155732,0.206539045287765,2.1972450173934,0.0280029520989202,0.0960043902187909
"g21.t1",0,NA,NA,NA,NA,NA
"g22.t1",0,NA,NA,NA,NA,NA
"g23.t1",0,NA,NA,NA,NA,NA
"g24.t1",0,NA,NA,NA,NA,NA
"g24.t2",0,NA,NA,NA,NA,NA
"g24.t3",0,NA,NA,NA,NA,NA
"g25.t1",522.964619347055,0.0275592387734441,0.215846390733565,0.127679868446179,0.898402322332972,0.960385705866145
"g26.t1",0,NA,NA,NA,NA,NA
"g27.t1",758.699738072846,0.116413563694544,0.202632239040093,0.57450662464185,0.565625018962494,0.77253390598022
"g28.t1",260.326972181695,0.106709158876214,0.259555921022748,0.411122036652987,0.680983052074418,0.846932609142851
"g29.t1",0,NA,NA,NA,NA,NA
"g30.t1",0,NA,NA,NA,NA,NA
"g31.t2",968.086831822075,-0.463065928388214,0.19669423204586,-2.35424253966048,0.0185604962542831,0.0692185987581809
