Gene,CRE
Fes_sc0011510.1.g000001.aua.1,ABRE
Fes_sc0011510.1.g000001.aua.1,MYB
Fes_sc0011510.1.g000001.aua.1,Light
Fes_sc0011510.1.g000001.aua.1,CAAT
Fes_sc0011510.1.g000001.aua.1,TATA
Fes_sc0011510.1.g000001.aua.1,DRE
Fes_sc0011510.1.g000001.aua.1,POLLEN
Fes_sc0011510.1.g000001.aua.1,Root
Fes_sc0011510.1.g000001.aua.1,Circadian
Fes_sc0000499.1.g000001.aua.1,ABRE
Fes_sc0000499.1.g000001.aua.1,DRE
Fes_sc0000499.1.g000001.aua.1,MYB
Fes_sc0000499.1.g000001.aua.1,Light
Fes_sc0000499.1.g000001.aua.1,POLLEN
Fes_sc0000499.1.g000001.aua.1,Root
Fes_sc0000542.1.g000013.aua.1,ABRE
Fes_sc0000542.1.g000013.aua.1,MYB
Fes_sc0000542.1.g000013.aua.1,Light
Fes_sc0000542.1.g000013.aua.1,POLLEN
Fes_sc0000542.1.g000013.aua.1,Root
Fes_sc0000231.1.g000023.aua.1,ABRE
Fes_sc0000231.1.g000023.aua.1,MYB
Fes_sc0000231.1.g000023.aua.1,Light
Fes_sc0000231.1.g000023.aua.1,POLLEN
Fes_sc0000231.1.g000023.aua.1,Root
Fes_sc0000231.1.g000023.aua.1,Circadian
Fes_sc0008411.1.g000001.aua.1,ABRE
Fes_sc0008411.1.g000001.aua.1,MYB
Fes_sc0008411.1.g000001.aua.1,Light
Fes_sc0008411.1.g000001.aua.1,POLLEN
Fes_sc0008411.1.g000001.aua.1,Root
Fes_sc0008411.1.g000001.aua.1,DOF
Fes_sc0008411.1.g000001.aua.1,GA
Fes_sc0008411.1.g000001.aua.1,ABA
Fes_sc0008411.1.g000003.aua.1,ABRE
Fes_sc0008411.1.g000003.aua.1,MYB
Fes_sc0008411.1.g000003.aua.1,Light
Fes_sc0008411.1.g000003.aua.1,POLLEN
Fes_sc0008411.1.g000003.aua.1,Root
Fes_sc0008411.1.g000003.aua.1,DOF
Fes_sc0008411.1.g000003.aua.1,GA
Fes_sc0008411.1.g000003.aua.1,ABA
Fes_sc0007348.1.g000004.aua.1,ABRE
Fes_sc0007348.1.g000004.aua.1,MYB
Fes_sc0007348.1.g000004.aua.1,Light
Fes_sc0007348.1.g000004.aua.1,POLLEN
Fes_sc0007348.1.g000004.aua.1,Root
Fes_sc0007348.1.g000004.aua.1,DOF
Fes_sc0007348.1.g000004.aua.1,GA
Fes_sc0007348.1.g000004.aua.1,ABA
Fes_sc0007348.1.g000004.aua.1,Circadian
Fes_sc0005868.1.g000004.aua.1,ABRE
Fes_sc0005868.1.g000004.aua.1,MYB
Fes_sc0005868.1.g000004.aua.1,Light
Fes_sc0005868.1.g000004.aua.1,POLLEN
Fes_sc0005868.1.g000004.aua.1,Root
Fes_sc0005868.1.g000004.aua.1,DOF
Fes_sc0005868.1.g000004.aua.1,GA
Fes_sc0005868.1.g000004.aua.1,ABA
Fes_sc0005868.1.g000004.aua.1,Circadian
