"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1.t1",0,NA,NA,NA,NA,NA
"g2.t1",0,NA,NA,NA,NA,NA
"g3.t1",0,NA,NA,NA,NA,NA
"g4.t1",0,NA,NA,NA,NA,NA
"g5.t1",5.8325745034218,1.33090757892564,1.534744756113,0.867184965854775,0.38584067232997,0.615934621249136
"g6.t1",0.535607154466356,2.61244492751407,4.8902531496695,0.534214660787167,0.593193027027448,NA
"g7.t1",0.524476101253263,2.58482644973393,4.89227012160469,0.528349086514891,0.597257068017097,NA
"g8.t1",1.85236293420606,4.40430043870433,3.08674728423674,1.42684192554279,0.153625463420734,NA
"g9.t2",0,NA,NA,NA,NA,NA
"g9.t1",0.953844725665601,-3.30556484852576,4.838627439014,-0.683161679668265,0.494504683994432,NA
"g10.t1",37.1680987775661,-2.17017289637556,0.733054483824172,-2.96045238691439,0.00307187600231883,0.0149223861916851
"g11.t1",0,NA,NA,NA,NA,NA
"g12.t1",0.476922362832801,-2.30537514009495,4.89193006333006,-0.471260854151627,0.637454466595262,NA
"g13.t1",0,NA,NA,NA,NA,NA
"g14.t1",0,NA,NA,NA,NA,NA
"g15.t1",212.885845535595,-0.419746498077199,0.320817856225235,-1.30836388914247,0.190749914615592,0.392419318495553
"g15.t2",31.91955314268,-0.251416988872375,0.711377852057418,-0.353422570220926,0.723771667616921,0.864702847805811
"g16.t1",202.157462829817,-0.738760046564165,0.329682959978994,-2.2408196244393,0.0250377612400071,0.0848055706284779
"g17.t1",2146.16015208103,-0.902908080450804,0.241762258782852,-3.73469409574712,0.000187943495054628,0.0013233553133955
"g18.t1",1361.4786440167,0.107553536510797,0.194291168444756,0.553568838829533,0.579873956870132,0.77498545186316
"g19.t1",714.426612677228,0.0223104266479422,0.208389695910648,0.107061083564843,0.914740520482357,0.962376192508959
"g20.t1",1309.55947080553,0.405099236999583,0.199343418225881,2.03216760605838,0.0421366911112416,0.128601480585081
"g21.t1",0,NA,NA,NA,NA,NA
"g22.t1",0,NA,NA,NA,NA,NA
"g23.t1",0,NA,NA,NA,NA,NA
"g24.t1",0,NA,NA,NA,NA,NA
"g24.t2",0,NA,NA,NA,NA,NA
"g24.t3",0,NA,NA,NA,NA,NA
"g25.t1",741.438009564358,0.0153557159172959,0.201144070965689,0.0763418769619873,0.939147110036031,0.972789528410637
"g26.t1",0,NA,NA,NA,NA,NA
"g27.t1",1027.636042266,0.229610673495064,0.194676766450201,1.17944569186072,0.238220749906769,0.455717126201349
"g28.t1",359.144174578819,0.117674540655526,0.239394135973196,0.491551475048252,0.623036454349956,0.804540063796072
"g29.t1",0,NA,NA,NA,NA,NA
"g30.t1",0,NA,NA,NA,NA,NA
"g31.t2",1344.73144299902,-0.431209767297512,0.193191573237712,-2.23203196739297,0.0256128502104891,0.0862932644777131
