"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g10.t1",37.1680987775661,-2.17017289637556,0.733054483824172,-2.96045238691439,0.00307187600231883,0.0149223861916851
"g87.t1",10971.1483004133,-1.87228457255537,0.273246485010637,-6.85199874568374,7.28251953345458e-12,2.03169960631295e-10
"g137.t1",34.5477470985889,-2.24251856213479,0.647841306073729,-3.46152451396728,0.000537125200808859,0.00333617042121652
"g148.t1",182.415892184365,-2.03203439058298,0.324870277586848,-6.25491013113612,3.97744881885194e-10,8.67626395566665e-09
"g151.t1",130.116233155803,-1.07032920695129,0.347358531322515,-3.08133847433132,0.00206072249730934,0.0106497238208695
"g194.t1",1927.68562513719,-1.51869831894592,0.176865778011592,-8.58672794714639,8.94811822964809e-18,5.07984671897122e-16
"g240.t1",692.45824891129,-2.10290206991462,0.235476718687671,-8.93040331814644,4.24458474090715e-19,2.77769539759422e-17
"g280.t1",816.914909440051,-2.43428542610916,0.213666026679626,-11.3929456354761,4.5339829035219e-30,6.51630909956806e-28
"g287.t1",376.306586933124,-1.44341607471656,0.394658173132926,-3.65738295309649,0.000254803551013176,0.00172734198940645
"g296.t1",1766.76767346839,-2.03715050749324,0.311152074369295,-6.54712173017821,5.86565514998578e-11,1.44779670810736e-09
"g318.t1",255.139994688361,-1.33890675311932,0.343403028289261,-3.89893694237171,9.66159291407442e-05,0.000733273569160434
"g342.t1",1196.28820123757,-3.09161221024215,0.256308418469214,-12.062078291094,1.67501981178061e-33,3.11773359720608e-31
"g350.t1",9.06734616875181,-4.03997582884226,1.56197797918698,-2.58644864567494,0.00969706192980364,0.0394979161079787
"g356.t1",190.366526484507,-4.27928381556785,0.614526735772385,-6.96354375890467,3.31818028647982e-12,9.77292320951799e-11
"g383.t1",828.531850903697,-1.32240864699173,0.225462014565549,-5.86532791139975,4.48245951419364e-09,8.27542200392758e-08
"g386.t1",11.8924576605412,-6.94592296305084,1.81335599384531,-3.8304243549672,0.000127922455810567,0.000937657561829039
"g391.t1",1176.61444219461,-1.55402209425478,0.18862797223208,-8.23855590380188,1.74301616954269e-16,8.77614438536041e-15
"g436.t1",2186.74397282627,-1.67009638948027,0.177079673499817,-9.43132747238768,4.04931303122102e-21,3.14903425729339e-19
"g437.t1",2231.39050954535,-1.20650605422061,0.22536423090375,-5.35358272864468,8.62295833369829e-08,1.2739761733352e-06
"g460.t1",55.6300974345116,-2.56280217719526,0.746737694471546,-3.4319978704288,0.000599152263063108,0.00365625129373189
"g483.t1",1490.56527052025,-1.00513904842955,0.216963559137159,-4.63275516140537,3.60831185572727e-06,3.81993219672983e-05
"g508.t1",1535.93205396953,-1.67659905507581,0.203301562118962,-8.24685771029514,1.62613850911884e-16,8.24248956809611e-15
"g521.t1",732.535627180803,-1.00612169362717,0.253535825485022,-3.96836104602742,7.23686348484627e-05,0.000567039648705277
"g602.t1",5172.96347972609,-1.38539418760806,0.172334486314801,-8.03898405498118,9.05863659055931e-16,4.20661594475298e-14
"g612.t1",1977.82971310546,-1.18620416745479,0.209024395255212,-5.67495562422975,1.38724612257525e-08,2.36676070258743e-07
"g646.t1",2420.37945028907,-1.6234907764208,0.180945250292555,-8.97227627581221,2.90448806024881e-19,1.93416759155806e-17
"g654.t1",11293.3257924613,-1.05161771089406,0.178495514798161,-5.89156378569632,3.82557936418799e-09,7.17351413724037e-08
"g659.t1",333.83205440868,-1.606571536976,0.300736189822675,-5.34212905311892,9.18612162184949e-08,1.34927845917826e-06
"g667.t1",10.9614349932925,-4.32755480327652,1.49710734248143,-2.89061090042059,0.00384493843536591,0.0180468916887741
"g683.t1",562.394507812072,-1.24942126553414,0.303598542672194,-4.11537306647478,3.86553680562296e-05,0.000323786830623704
"g708.t1",1111.17382733506,-1.13468865095558,0.20870401274568,-5.43683198050571,5.42362375454894e-08,8.29357900459914e-07
"g710.t1",267.818889894886,-1.50790066550053,0.424828161975473,-3.5494366910346,0.000386056282282393,0.00249759716754091
"g719.t1",32.7980129945012,-2.23583597797782,0.719682880475998,-3.10669607216311,0.00189190798481455,0.0099035146425009
"g743.t1",4230.74792712846,-1.43007354511546,0.254951598348697,-5.60919623323777,2.03268439405832e-08,3.36104252037795e-07
"g766.t1",1586.86422317493,-2.5483709741755,0.243149475707044,-10.4806764101185,1.05982990096672e-25,1.12988814042969e-23
"g771.t1",116.738696104845,-1.68762118357327,0.417915957750941,-4.03818316164662,5.3866787090738e-05,0.000436236448379629
"g778.t1",7.13343450230616,-6.20856625436924,2.00164427710895,-3.10173307283974,0.00192391352420762,0.0100455802041174
"g787.t1",88.2005075331684,-1.79298274130913,0.46062074904518,-3.89253576836432,9.92018680772961e-05,0.000749144004090203
"g794.t1",833.402606740716,-1.41192180062333,0.266387876220666,-5.30024797169729,1.15645503139304e-07,1.67053313313442e-06
"g804.t2",492.512467394542,-1.07902650662242,0.278033662906029,-3.88092037253457,0.000104061910291575,0.000780653405649517
"g814.t1",148.607981268564,-1.58174671272385,0.446759878177871,-3.54048514646183,0.000399392116071724,0.00257287834659765
"g827.t1",1593.50034444442,-1.0086764077335,0.189320685193686,-5.32787215882703,9.93700235317399e-08,1.45486427747179e-06
"g829.t2",42.5300890107564,-3.0857092546643,0.686069287946122,-4.49766417019184,6.87041059756694e-06,6.92776571267984e-05
"g829.t1",23.9058324997191,-2.13339602099655,0.787256148201167,-2.70991344541574,0.00673007683560713,0.0292509454060715
"g832.t1",3327.25820046149,-1.80340773063543,0.257773811111259,-6.99608592067971,2.63212155862514e-12,7.86450215174469e-11
"g847.t1",105.672379644756,-1.92372029373243,0.390883668143511,-4.92146500484167,8.58987636074511e-07,1.04886466061864e-05
"g855.t1",366.408853978085,-4.24572223955872,0.332217501003316,-12.7799475546484,2.12212578227159e-37,4.58945069179269e-35
"g914.t1",114.175027873958,-3.43739778420648,0.477546889924546,-7.19803197702659,6.1087820530037e-13,1.98452393218323e-11
"g928.t1",274.981751007278,-1.31630695636426,0.334426915827678,-3.93600782133973,8.28482738529376e-05,0.000638817861681666
"g932.t1",1014.15952373678,-1.0443744677477,0.199286268919458,-5.2405741419635,1.60077753956783e-07,2.2521968010227e-06
