"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g97.t1",3344.32976411876,1.293247745949,0.180198648528549,7.17678937388986,7.1367505287861e-13,2.30200754272265e-11
"g170.t1",529.442327017805,1.13233783813958,0.287179484474407,3.94296215209096,8.04813603202616e-05,0.000621834205563968
"g182.t1",8.89315277478488,3.51863212383431,1.40600073389687,2.50258199658408,0.0123291062401489,0.0480139503517922
"g206.t1",59.1535275543913,5.93582375523579,1.20258655493428,4.93588069056715,7.97898762031395e-07,9.82042552206446e-06
"g209.t1",7879.18426178135,1.09690025916555,0.172677488476822,6.35230607557035,2.12110742155601e-10,4.84568484192092e-09
"g216.t1",240.857779638877,1.40298191637548,0.40454352138758,3.46806175900005,0.000524226796451617,0.00326767556789001
"g230.t1",65.9259283570902,2.11527001731147,0.490482698326127,4.31262922123505,1.61324536520436e-05,0.000149646959775574
"g244.t1",78.733296602323,1.25138602715874,0.434686938744952,2.87882132086095,0.00399164418268427,0.0186468331825539
"g251.t1",583.483954826423,1.01423196761759,0.273493845973341,3.70842701782932,0.000208550749634213,0.00145216769102518
"g257.t1",1576.51169662824,1.16683230435599,0.273532741912579,4.26578659723634,1.9919911819818e-05,0.000180936543041771
"g261.t1",3300.82229949675,2.05374647653749,0.202319715852693,10.1509952595663,3.28001150384961e-24,3.14272157086148e-22
"g262.t1",301.199462731577,1.02350618014052,0.254934767380231,4.01477676292765,5.95020857538196e-05,0.000475765268766808
"g275.t1",3164.27363243248,1.38497309770946,0.283364501865423,4.8876026763833,1.02071264619193e-06,1.21806036469627e-05
"g281.t1",735.622049384923,1.41582829226716,0.257392958945801,5.50064888358228,3.78396076389467e-08,5.9423361705754e-07
"g314.t1",86.957612731468,3.19620817918952,0.455129232991807,7.02263873093613,2.17716644966392e-12,6.59187943186243e-11
"g324.t1",15946.3303828425,1.5866745498241,0.28304970519346,5.60563929483563,2.07487673139472e-08,3.42414976864182e-07
"g339.t1",1320.22173966447,1.68512798615518,0.289242552815774,5.82600301978555,5.67705889718098e-09,1.02966975588806e-07
"g358.t1",436.194662832409,1.09218898644234,0.243457494287683,4.48615882471766,7.25186917859615e-06,7.28008157858361e-05
"g363.t1",3407.69247293512,1.31505247076764,0.241640453179871,5.44218674258465,5.26304592051587e-08,8.0588838006119e-07
"g376.t1",899.900904513837,1.39748758581214,0.196771615324377,7.10207914646828,1.2289381208398e-12,3.82283929425071e-11
"g379.t1",23.4887563440771,3.95085097299617,0.928232247720284,4.25631729849869,2.07821713513568e-05,0.000187196170982392
"g380.t1",512.635624171418,3.61291722189084,0.2503532336166,14.4312784368657,3.28927133873377e-47,1.0520108952108e-44
"g381.t1",252.178505894596,4.60098169519656,0.577549651745262,7.96638294438085,1.63386105816296e-15,7.34687463539891e-14
"g399.t1",127.522887347291,1.01107554315198,0.385547322446681,2.62244213430325,0.00873020917166186,0.0362688602030914
"g400.t1",3881.79053687161,1.13399806021837,0.17042468200367,6.6539543855153,2.85321134898165e-11,7.34588699690196e-10
"g408.t1",4187.64307635953,1.0453027365414,0.20503300660294,5.09821688644355,3.42867847259784e-07,4.51877137293975e-06
"g412.t1",331.7322369508,1.25601123991465,0.400550330307196,3.13571390379673,0.00171436356348421,0.009097954461123
"g421.t1",992.943349946403,4.2622313011247,0.229151877104086,18.6000278722949,3.21140777532695e-77,3.1706368592228e-74
"g433.t1",1688.49820004659,1.07781541939534,0.196019802263878,5.49850273772038,3.83029594698321e-08,6.00679284282422e-07
"g435.t1",730.798121753915,2.21198125374471,0.269361135083263,8.21195401133484,2.17617629666331e-16,1.08847161552049e-14
"g462.t1",56.0660140386242,6.87082365400428,1.31535564609639,5.22354822773216,1.7552672142794e-07,2.44381409576067e-06
"g472.t1",512.617730323949,1.54359869139771,0.285803540460165,5.40090822147411,6.63043438042906e-08,1.00042461070288e-06
"g478.t1",862.973464351856,2.62676014744918,0.258028092145646,10.1801324251411,2.43230146669249e-24,2.34036871634123e-22
"g503.t1",74.3395614945301,2.46215003915084,0.714653815309733,3.44523458268216,0.000570563996643574,0.00351502095382048
"g617.t1",446.086902569945,2.18218430231546,0.344799887164321,6.32884285508915,2.47006504005228e-10,5.58667698501068e-09
"g644.t1",7095.50693659589,1.36079245317245,0.172233591160024,7.90085397399698,2.76999016011365e-15,1.22613911414933e-13
"g666.t1",59.0373770254721,3.36275287019208,0.61319038202419,5.48402742243177,4.15750282420084e-08,6.46805310640832e-07
"g674.t1",682.552959849425,1.96716877085266,0.274366578891321,7.16985566828776,7.50768755995113e-13,2.41138004400807e-11
"g684.t1",1433.47054982316,2.35550028341246,0.197957424847159,11.899024677812,1.19738355791869e-32,2.10776634366028e-30
"g689.t1",366.822250223414,1.20970429023908,0.244622716825729,4.94518377498391,7.6072064819145e-07,9.40873882305634e-06
"g725.t1",310.05920531124,3.99478376443028,0.396263887771584,10.0811198994065,6.69585484344206e-24,6.18087283678383e-22
"g726.t1",26249.0188958773,3.37736092801366,0.191620656077971,17.6252445698725,1.57685318223605e-69,9.67761677357196e-67
"g739.t1",8692.66158180416,1.96888265344522,0.203750537186338,9.66320226996308,4.32140229522414e-22,3.58140158102006e-20
"g741.t1",31.3653570707099,6.02161414925127,1.21503868688373,4.95590322699536,7.19950452731641e-07,8.9581560989754e-06
"g751.t1",915.822838140919,1.99713228018728,0.228093242729782,8.75577135160137,2.02712298977274e-18,1.23741690461719e-16
"g755.t1",1321.81568790585,1.631802370765,0.21753775444697,7.50123754340209,6.3218105663639e-14,2.36111306481894e-12
"g789.t1",194.292155319108,1.36190934391605,0.301381950250573,4.51888158127498,6.21671512133441e-06,6.32761842112334e-05
"g821.t1",2096.36428367723,1.74146428017499,0.308395681262469,5.64685041322894,1.63413897613588e-08,2.75691143165628e-07
"g869.t1",5427.40640531238,1.05501886515532,0.18002067677773,5.86054271120168,4.61356850344319e-09,8.50364558248279e-08
"g891.t1",19112.3257668811,1.22113004088529,0.171322072590865,7.12768659880435,1.02069850629392e-12,3.21470481011404e-11
"g893.t1",428.338487918932,5.70031969160574,0.449681654999188,12.6763447613091,7.99752400055872e-37,1.68155347226562e-34
"g935.t1",76.0563308411906,1.26537043026256,0.46934755706959,2.69602006275053,0.00701734399904743,0.030288889475455
"g942.t1",35.1718367175291,2.67826602914613,0.652715597262453,4.10326647682239,4.07357600916816e-05,0.000339335157799672
"g954.t1",1055.90945837973,1.20409171694843,0.190644320572611,6.31590657058062,2.68582282626871e-10,6.04072174857423e-09
"g956.t1",25.3727841266041,3.27450707109131,0.890673042386201,3.67644120261974,0.000236510335796725,0.00161864879604341
"g957.t1",62.5397844216798,3.60214629884458,0.655453798056253,5.49565249225305,3.8926839656424e-08,6.09201016483857e-07
"g963.t1",349.731930622124,3.10774262589762,1.08244116391222,2.87104992816925,0.00409110901863291,0.0190448756857557
"g965.t1",45.3214921371564,2.93552433281253,0.90199665806306,3.25447362423299,0.00113602708618846,0.00640916846538325
"g1022.t1",82.2710985547279,1.14074387877843,0.422147830004062,2.70223793112344,0.00688744560988544,0.0298245833160333
"g1028.t1",1571.75133514894,1.04400823278493,0.292587518698008,3.5681912797603,0.00035945405777178,0.00234486720594127
"g1034.t1",82.9616996709386,5.4125983508085,0.805817653531765,6.71690217642414,1.85628494609728e-11,4.94747870375317e-10
"g1073.t1",707.893673594823,2.12402172336825,0.447899928273528,4.74217919961607,2.11431470897012e-06,2.35467672443813e-05
"g1079.t1",205.484449872657,2.42339539290497,0.546336179229963,4.43572196943033,9.17642214398432e-06,8.96250296970305e-05
"g1111.t1",5006.96130529491,3.92658699880211,0.179545783083224,21.8695584567532,5.06451964410057e-106,1.43756390097795e-102
"g1144.t1",214.382335645619,1.46420652988893,0.287195915856515,5.09828465186272,3.42745153587397e-07,4.51877137293975e-06
"g1173.t1",436.861262605969,1.36177296239521,0.231361415682771,5.88591212746722,3.95864612159494e-09,7.41079440471376e-08
"g1178.t1",431.121117352086,3.41063458039899,0.270984979476942,12.5860650541673,2.51921880039179e-36,5.15373157831502e-34
"g1188.t1",2930.72309081051,1.92495589560264,0.220513079774312,8.7294408910926,2.55934670437035e-18,1.54568204688409e-16
"g1191.t1",1610.62537889536,1.51711673386634,0.189383499774278,8.01081792064548,1.13948046217066e-15,5.25921185670148e-14
"g1194.t1",6266.45207890009,3.0161498029719,0.319127420303475,9.45123988438124,3.34840563152526e-21,2.6129070474459e-19
"g1199.t1",258.269092491925,7.4976576032972,2.39186528365091,3.13464878417102,0.00172059975979742,0.0091203033019327
"g1200.t1",634.204475637958,1.89945461349299,0.310081799389008,6.12565657589615,9.03104100587516e-10,1.86603165751968e-08
"g1202.t1",5760.35448010852,1.36062492986073,0.220160520517302,6.1801494957576,6.40409288272133e-10,1.35278270865894e-08
"g1208.t1",14.4737843581035,2.72758280212593,1.04482340027871,2.61056825622238,0.0090391931478717,0.0372796945154142
"g1219.t1",2156.37712979936,1.2845740294494,0.248866062710972,5.16170833200863,2.44706354194026e-07,3.31353124092901e-06
"g1227.t1",4838.9755641112,2.46979445101823,0.345603613944325,7.14632125176823,8.91343247227517e-13,2.82690257793889e-11
"g1239.t1",79.7936306135234,2.65585719876534,0.63728994972807,4.16742363487544,3.0806166500407e-05,0.000264278968224874
"g1242.t1",89.416083461307,2.84311175089864,0.48684535769413,5.83986620384882,5.224276108113e-09,9.51932524302806e-08
"g1247.t1",108.332602276633,2.72101093478215,0.523868555876678,5.19407187978409,2.05743643511726e-07,2.82639241189612e-06
"g1260.t1",261.102840170057,1.56844816302265,0.281586076143411,5.5700487201073,2.54668112807662e-08,4.13366941074796e-07
"g1274.t1",6147.31085820244,1.36506356870195,0.163451802277427,8.35147456119835,6.74159667478082e-17,3.55192986753881e-15
"g1324.t1",34.7286781454651,2.6559327889428,0.680546237457901,3.90264855311481,9.51458062433356e-05,0.000723082653337907
"g1325.t1",89.6930739633728,2.99595099841344,0.524427542081233,5.71280254756219,1.11130597853727e-08,1.92344025614515e-07
"g1327.t1",1223.68602829042,1.16008121814531,0.187104053040631,6.20019288354694,5.63940038206318e-10,1.20243665611165e-08
"g1333.t1",602.211568294824,1.87172643761623,0.226257287358367,8.27255758021894,1.31115505598966e-16,6.73613326050072e-15
"g1349.t1",222.675225300973,2.6855999090946,0.457774582316178,5.86664269454721,4.44707561652556e-09,8.22346849349042e-08
"g1350.t1",2395.14651983773,4.20028331701998,0.284633807784755,14.7567969866612,2.78181941015515e-49,9.57114472209139e-47
"g1363.t1",1278.30182245667,3.68170183867294,0.206158618726788,17.858588020286,2.47829645437226e-71,1.65521046723192e-68
"g1380.t1",1196.15569228997,7.59134418058921,1.12346757036049,6.75706569630074,1.40814352207433e-11,3.77968358147327e-10
"g1381.t1",70.2584789446274,1.30864613365866,0.493031614882957,2.6542844194065,0.00794768057289215,0.0336081807168035
"g1385.t1",242.462827306243,1.87932967382136,0.296021092616141,6.34863433957505,2.1723469008156e-10,4.95775411293674e-09
"g1413.t1",1437.97399226952,1.13171138930911,0.284599590267955,3.9765039304645,6.99358435171366e-05,0.000549897207267015
"g1417.t2",1499.11907579015,1.79148353209691,0.293841400789692,6.09677032331844,1.08232850491438e-09,2.20822243392593e-08
"g1422.t1",1526.72829879469,3.72698433319761,0.466778204254326,7.98448663461362,1.41108309227383e-15,6.38304280066816e-14
"g1468.t1",189.548914207612,1.71817954462132,0.380806587025403,4.51194806802725,6.42349175988932e-06,6.5118147715878e-05
"g1475.t1",642.932004768458,1.15610253459605,0.319342952622238,3.62025379017412,0.000294314193281022,0.00195933353885238
"g1479.t1",152.898389937196,3.12954447248023,0.452942528835712,6.90936327071057,4.86833834499171e-12,1.39760084877461e-10
"g1521.t1",477.883179829925,1.01381659894126,0.352776092498835,2.87382456038914,0.00405534162821513,0.0189093835099608
"g1535.t1",176.882729489511,2.1871229515575,0.447959892291815,4.88240797712476,1.04798149886369e-06,1.24594575268045e-05
"g1541.t1",462.740889129887,1.97035787282324,0.256233051463917,7.68971005717703,1.47468834163577e-14,5.94799695592632e-13
