Gene1	Gene2	Gene1_scaffold	Gene1_start	Gene1_end	Gene1_strand	Gene2_scaffold	Gene2_start	Gene2_end	Gene2_strand	Original_line		Duplication_Type
Fes_sc0005868.1.g000004.aua.1	Fes_sc0001617.1.g000017.aua.1	Fes_sc0005868.1.g000004.aua.1	23449	27158	+	Fes_sc0001617.1.g000017.aua.1	109063	112331	+	Fes_sc0005868.1.g000004.aua.1	['Fes_sc0001617.1.g000017.aua.1', '61.658', '193', '74', '0', '1', '193', '1', '193', '4.62e-87', '257']	Segmental
Fes_sc0001617.1.g000017.aua.1	Fes_sc0003471.1.g000005.aua.1	Fes_sc0001617.1.g000017.aua.1	109063	112331	+	Fes_sc0003471.1.g000005.aua.1	31301	35241	+	Fes_sc0001617.1.g000017.aua.1	['Fes_sc0003471.1.g000005.aua.1', '59.067', '193', '79', '0', '1', '193', '16', '208', '3.25e-84', '239']	Segmental
Fes_sc0005868.1.g000004.aua.1	Fes_sc0003471.1.g000005.aua.1	Fes_sc0005868.1.g000004.aua.1	23449	27158	+	Fes_sc0003471.1.g000005.aua.1	31301	35241	+	Fes_sc0005868.1.g000004.aua.1	['Fes_sc0003471.1.g000005.aua.1', '59.585', '193', '78', '0', '1', '193', '16', '208', '3.45e-86', '254']	Segmental
Fes_sc0011510.1.g000001.aua.1	Fes_sc0008411.1.g000001.aua.1	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0011510.1.g000001.aua.1	['Fes_sc0008411.1.g000001.aua.1', '56.651', '436', '175', '5', '9', '441', '4', '428', '1.72e-179', '501']	Segmental
Fes_sc0011510.1.g000001.aua.1	Fes_sc0000542.1.g000013.aua.1	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0011510.1.g000001.aua.1	['Fes_sc0000542.1.g000013.aua.1', '56.109', '442', '166', '5', '3', '442', '2', '417', '3.67e-178', '497']	Segmental
Fes_sc0011510.1.g000001.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0011510.1.g000001.aua.1	['Fes_sc0007348.1.g000004.aua.1', '54.670', '439', '184', '7', '8', '441', '18', '446', '1.65e-170', '478']	Segmental
Fes_sc0008411.1.g000003.aua.1	Fes_sc0011510.1.g000001.aua.1	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0008411.1.g000003.aua.1	['Fes_sc0011510.1.g000001.aua.1', '54.920', '437', '184', '5', '5', '432', '10', '442', '2.93e-169', '474']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0011510.1.g000001.aua.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0011510.1.g000001.aua.1', '51.852', '432', '192', '4', '9', '427', '13', '441', '2.00e-161', '454']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0011510.1.g000001.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0011510.1.g000001.aua.1', '51.802', '444', '194', '7', '16', '444', '4', '442', '1.63e-162', '457']	Segmental
Fes_sc0011510.1.g000001.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0011510.1.g000001.aua.1	541	1950	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0011510.1.g000001.aua.1	['Fes_sc0010474.1.g000002.auf.1', '45.755', '424', '204', '6', '14', '432', '5', '407', '8.67e-133', '381']	Segmental
Fes_sc0000542.1.g000013.aua.1	Fes_sc0008411.1.g000001.aua.1	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0000542.1.g000013.aua.1	['Fes_sc0008411.1.g000001.aua.1', '65.682', '440', '133', '3', '6', '428', '2', '440', '0.0', '        613']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0000542.1.g000013.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0000542.1.g000013.aua.1', '56.813', '433', '169', '5', '24', '454', '11', '427', '3.18e-179', '499']	Segmental
Fes_sc0000542.1.g000013.aua.1	Fes_sc0007348.1.g000004.aua.1	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0007348.1.g000004.aua.1	11573	15470	+	Fes_sc0000542.1.g000013.aua.1	['Fes_sc0007348.1.g000004.aua.1', '55.093', '432', '168', '7', '15', '424', '26', '453', '1.81e-170', '477']	Segmental
Fes_sc0000499.1.g000001.aua.1	Fes_sc0000542.1.g000013.aua.1	Fes_sc0000499.1.g000001.aua.1	5199	9012	+	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0000499.1.g000001.aua.1	['Fes_sc0000542.1.g000013.aua.1', '53.047', '443', '188', '7', '1', '440', '4', '429', '2.81e-169', '473']	Segmental
Fes_sc0008411.1.g000003.aua.1	Fes_sc0000542.1.g000013.aua.1	Fes_sc0008411.1.g000003.aua.1	16741	18057	+	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0008411.1.g000003.aua.1	['Fes_sc0000542.1.g000013.aua.1', '49.884', '431', '193', '5', '5', '433', '9', '418', '1.38e-156', '441']	Segmental
Fes_sc0000542.1.g000013.aua.1	Fes_sc0010474.1.g000002.auf.1	Fes_sc0000542.1.g000013.aua.1	56556	57854	+	Fes_sc0010474.1.g000002.auf.1	3917	7977	+	Fes_sc0000542.1.g000013.aua.1	['Fes_sc0010474.1.g000002.auf.1', '45.050', '404', '212', '5', '13', '407', '5', '407', '8.62e-130', '372']	Segmental
Fes_sc0000231.1.g000023.aua.1	Fes_sc0008411.1.g000001.aua.1	Fes_sc0000231.1.g000023.aua.1	108183	109781	+	Fes_sc0008411.1.g000001.aua.1	3048	4403	+	Fes_sc0000231.1.g000023.aua.1	['Fes_sc0008411.1.g000001.aua.1', '54.587', '436', '188', '5', '21', '450', '4', '435', '2.29e-169', '474']	Segmental
