Gene,ABA,ABRE,CAAT,Circadian,DOF,DRE,GA,Light,MYB,POLLEN,Root,TATA
Fes_sc0000231.1.g000023.aua.1,0,1,0,1,0,0,0,1,1,1,1,0
Fes_sc0000499.1.g000001.aua.1,0,1,0,0,0,1,0,1,1,1,1,0
Fes_sc0000542.1.g000013.aua.1,0,1,0,0,0,0,0,1,1,1,1,0
Fes_sc0005868.1.g000004.aua.1,1,1,0,1,1,0,1,1,1,1,1,0
Fes_sc0007348.1.g000004.aua.1,1,1,0,1,1,0,1,1,1,1,1,0
Fes_sc0008411.1.g000001.aua.1,1,1,0,0,1,0,1,1,1,1,1,0
Fes_sc0008411.1.g000003.aua.1,1,1,0,0,1,0,1,1,1,1,1,0
Fes_sc0011510.1.g000001.aua.1,0,1,1,1,0,1,0,1,1,1,1,1
